ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Feldkirch (Hartheim) ,Hartheim am Rhein,Baden-Würtemberg,47.9381276,7.6483030288
Dattingen,Müllheim (Baden),Baden-Würtemberg,47.8295493,7.6483495681
Bickensohl,Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.0756351,7.6492846633
Zunzingen,Müllheim (Baden),Baden-Würtemberg,47.81681695,7.6531106051
Tumringen,Lörrach,Baden-Würtemberg,47.6269153,7.6539312
Eschbach im Schwarzwald,Stegen,Baden-Würtemberg,47.8924117,7.654042
Oberrimsingen,Breisach am Rhein,Baden-Würtemberg,47.9792111,7.6541618122
Grenzach,Grenzach-Wyhlen,Baden-Würtemberg,47.5553231,7.6545614
Oberbergen (Vogtsburg im Kaiserstuhl),Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.0953873,7.6550321
Wollbach (Kandern),Kandern,Baden-Würtemberg,47.6697946,7.6565239
Hausen an der Möhlin,Bad Krozingen,Baden-Würtemberg,47.95685165,7.6588784122
Rimsingen,Breisach am Rhein,Baden-Würtemberg,47.9797304,7.6613344383
Stetten (Lörrach),Lörrach,Baden-Würtemberg,47.6066075,7.6618689
Niederrimsingen,Breisach am Rhein,Baden-Würtemberg,47.9919615,7.6622795155
Schlatt (Bad Krozingen),Bad Krozingen,Baden-Würtemberg,47.92639435,7.6658544184
Sitzenkirch,Kandern,Baden-Würtemberg,47.7361751,7.6719645
Lipburg,Badenweiler,Baden-Würtemberg,47.78292885,7.672083728
Tunsel,Bad Krozingen,Baden-Würtemberg,47.90093245,7.6723975209
Obereggenen,Schliengen,Baden-Würtemberg,47.76177025,7.6727316789
Haagen (Lörrach),Lörrach,Baden-Würtemberg,47.6369455,7.6784725
Amoltern,Endingen am Kaiserstuhl,Baden-Würtemberg,48.1271863,7.6793545
Britzingen,Müllheim (Baden),Baden-Würtemberg,47.82632035,7.6795556887
Gallenweiler,Heitersheim,Baden-Würtemberg,47.88378155,7.6840390046
Schelingen,Vogtsburg im Kaiserstuhl,Baden-Würtemberg,48.10623085,7.6840488766
Dottingen (Ballrechten-Dottingen),Ballrechten-Dottingen,Baden-Würtemberg,47.85671185,7.6843923954
Biengen,Bad Krozingen,Baden-Würtemberg,47.94033935,7.6851123646
Salzert,Lörrach,Baden-Würtemberg,47.6033915,7.6860047
Laufen (Sulzburg),Sulzburg,Baden-Würtemberg,47.83851295,7.6873553467
Wasenweiler,Ihringen,Baden-Würtemberg,48.0523295,7.6881266087
Munzingen,Freiburg im Breisgau,Baden-Würtemberg,47.9717569,7.6896527325
Wyhlen,Grenzach-Wyhlen,Baden-Würtemberg,47.5487995,7.691887
Brombach (Lörrach),Lörrach,Baden-Würtemberg,47.6347472,7.6929302
Hauingen,Lörrach,Baden-Würtemberg,47.6429706,7.6938526
Wettelbrunn,Staufen im Breisgau,Baden-Würtemberg,47.8726215,7.6948749495
Schweighof (Badenweiler),Badenweiler,Baden-Würtemberg,47.8058723,7.701513218
Ballrechten,Ballrechten-Dottingen,Baden-Würtemberg,47.8576007,7.7104603585
Malsburg (Malsburg-Marzell),Malsburg-Marzell,Baden-Würtemberg,47.7379036,7.7115892
Offnadingen,Ehrenkirchen,Baden-Würtemberg,47.9345824,7.712062375
Niederhausen (Rheinhausen),Rheinhausen (Breisgau),Baden-Würtemberg,48.234168,7.712853
Mengen (Schallstadt),Schallstadt,Baden-Würtemberg,47.9609848,7.7154003765
Grunern,Staufen im Breisgau,Baden-Würtemberg,47.8713724,7.720788
Marzell (Malsburg-Marzell),Malsburg-Marzell,Baden-Würtemberg,47.7711778,7.7262139
Waltershofen (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,48.02407375,7.7266150144
Hägelberg,Steinen (Baden),Baden-Würtemberg,47.6617147,7.7271254
Norsingen,Ehrenkirchen,Baden-Würtemberg,47.9375143,7.7287147307
Tiengen (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,47.981544,7.728765147
Opfingen,Freiburg im Breisgau,Baden-Würtemberg,48.00422485,7.7341791601
Herten (Rheinfelden),Rheinfelden (Baden),Baden-Würtemberg,47.556031,7.7347234
Endenburg (Steinen),Steinen (Baden),Baden-Würtemberg,47.7131852,7.7354855
Scherzingen (Ehrenkirchen),Ehrenkirchen,Baden-Würtemberg,47.946512,7.7355243445
Hüsingen,Steinen (Baden),Baden-Würtemberg,47.6306666,7.7403403
Schlächtenhaus,Steinen (Baden),Baden-Würtemberg,47.6904781,7.7414032325
Niederweiler (Müllheim),Müllheim (Baden),Baden-Würtemberg,47.8007177,7.7420221418
Degerfelden,Rheinfelden (Baden),Baden-Würtemberg,47.5717399,7.7456376
Höllstein,Steinen (Baden),Baden-Würtemberg,47.6395447,7.7481389
Ehrenstetten,Ehrenkirchen,Baden-Würtemberg,47.9137674,7.7525887
Wittenweier,Schwanau,Baden-Würtemberg,48.3288204,7.7572192
Ottenheim (Schwanau),Schwanau,Baden-Würtemberg,48.3861601,7.7579985
Eichsel,Rheinfelden (Baden),Baden-Würtemberg,47.59941225,7.7586945917
Adelhausen (Rheinfelden),Rheinfelden (Baden),Baden-Würtemberg,47.6120417,7.7597566
Nonnenweier,Schwanau,Baden-Würtemberg,48.3476599,7.7608934
Wolfenweiler,Schallstadt,Baden-Würtemberg,47.9632282,7.7633198
Weitenau (Steinen),Steinen (Baden),Baden-Würtemberg,47.6792504,7.7655144
Grafenhausen (Kappel-Grafenhausen),Kappel-Grafenhausen,Baden-Würtemberg,48.2825738,7.7690972
Gütighofen,Ehrenkirchen,Baden-Würtemberg,47.9178581,7.7706556
Gütighofen,Bollschweil,Baden-Würtemberg,47.9182462,7.7707361
Hecklingen (Kenzingen),Kenzingen,Baden-Würtemberg,48.1698754,7.7712276
Neuershausen,March (Breisgau),Baden-Würtemberg,48.0692049,7.7714161
Buchheim (March),March (Breisgau),Baden-Würtemberg,48.0619453,7.7784359
Nimburg (Teningen),Teningen,Baden-Würtemberg,48.1028802,7.7792700173
Mundenhof,Freiburg im Breisgau,Baden-Würtemberg,48.0116894,7.7802148
Hugstetten,March (Breisgau),Baden-Würtemberg,48.0533687,7.781347
Allmannsweier,Schwanau,Baden-Würtemberg,48.3671735,7.7834976
Bottingen,Teningen,Baden-Würtemberg,48.0903501,7.7840747
Hippetsweiler,Wald (Hohenzollern),Baden-Würtemberg,48.017705,7.785308
Reischach (Wald),Wald (Hohenzollern),Baden-Würtemberg,48.017705,7.785308
Ruhestetten,Wald (Hohenzollern),Baden-Würtemberg,48.017705,7.785308
Sentenhart,Wald (Hohenzollern),Baden-Würtemberg,48.017705,7.785308
Walbertsweiler,Wald (Hohenzollern),Baden-Würtemberg,48.017705,7.785308
Minseln,Rheinfelden (Baden),Baden-Würtemberg,47.6043737,7.7901117
Rieselfeld (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,47.999472,7.7914334
Lehen (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,48.02238265,7.792315273
Wagenstadt,Herbolzheim,Baden-Würtemberg,48.2076295,7.7952327
Orschweier (Mahlberg),Mahlberg,Baden-Würtemberg,48.277072,7.7982742
Holzhausen (March),March (Breisgau),Baden-Würtemberg,48.0709159,7.7993194
Langenau (Schopfheim),Schopfheim,Baden-Würtemberg,47.6580112,7.7999652
Sankt Georgen (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,47.9813688,7.802086
Hochdorf (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,48.048658,7.8026368
Untermünstertal,Münstertal/Schwarzwald,Baden-Würtemberg,47.83971625,7.8040187
Altdorf (Ettenheim),Ettenheim,Baden-Würtemberg,48.2679225,7.8079879327
Tutschfelden,Herbolzheim,Baden-Würtemberg,48.2153588,7.8080506
Landwasser (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,48.0227989,7.8083571
Enkenstein,Schopfheim,Baden-Würtemberg,47.6805418,7.8092533
